route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_color,route_text_color
1,2,"1","JUNIKOWO - FRANOWO|FRANOWO - JUNIKOWO","JUNIKOWO - Grunwaldzka - Reymonta - Hetmańska - Zamenhofa - Jana Pawła II - Trasa Kórnicka - Piaśnicka - Szwajcarska - FRANOWO^G - zjazd do zajezdni Głogowska przez przystanek: Rondo Nowaka-Jeziorańskiego^N - kurs obsługiwany taborem niskopodłogowym - z wyjątkiem sytuacji awaryjnych|FRANOWO - Piaśnicka - Trasa Kórnicka - Jana Pawła II - Zamenhofa - Hetmańska - Reymonta - Grunwaldzka - JUNIKOWO^G - zjazd do zajezdni Głogowska przez przystanek Rondo Starołęka, Traugutta^N - kurs obsługiwany taborem niskopodłogowym - z wyjątkiem sytuacji awaryjnych",0,D0006F,FFFFFF
2,2,"2","OGRODY - DĘBIEC|DĘBIEC - OGRODY","OGRODY - Dąbrowskiego - Kraszewskiego - Zwierzyniecka - Święty Marcin - al. Marcinkowskiego - Strzelecka - Królowej Jadwigi - Górna Wilda - 28 Czerwca 1956 r. - DĘBIEC^G - zjazd do zajezdni Głogowska przez przystanek: Rondo Kaponiera, Towarowa, Poznań , Główny, Dworzec Zachodni^N - kurs obsługiwany taborem niskopodłogowym - z wyjątkiem sytuacji awaryjnych|DĘBIEC - Górna Wilda - Królowej Jadwigi - Strzelecka - al. Marcinkowskiego - pl. Wolności - Gwarna - Święty Marcin - Zwierzyniecka - Kraszewskiego - Dąbrowskiego - OGRODY^F - zjazd do zajezdni Franowo przez przystanek: AWF, Rondo Rataje, Os. Lecha^G - zjazd do zajezdni Głogowska przez przystanek: Traugutta^N - kurs obsługiwany taborem niskopodłogowym - z wyjątkiem sytuacji awaryjnych",0,62B5E5,000000
3,2,"3","GÓRCZYN - POŁABSKA|POŁABSKA - GÓRCZYN","GÓRCZYN - Głogowska - Matyi - Królowej Jadwigi - Krzywoustego - Jana Pawła II - Wyszyńskiego - Małe Garbary - pl. Wielkopolski - pl. Ratajskiego - Fredry - Roosevelta - Pułaskiego - Winogrady - Murawa - Aleje Solidarności - POŁABSKA^G - zjazd do zajezdni Głogowska^N - kurs obsługiwany taborem niskopodłogowym - z wyjątkiem sytuacji awaryjnych^S - zjazd do zajezdni Forteczna (Starołęka) przez przystanek: Dworzec Zachodni, Ron do Rataje|POŁABSKA - Murawa - Winogrady - Pułaskiego - Fredry - pl. Ratajskiego - pl. Wielkopolski - Małe Garbary - Wyszyńskiego - Jana Pawła II - Krzywoustego - Królowej Jadwigi - Matyi - Głogowska - GÓRCZYN^G - zjazd do zajezdni Głogowska  przez przystanek: Most Teatralny, Rondo Śródka, Ro ndo Rataje, Dworzec Zachodni^N - kurs obsługiwany taborem niskopodłogowym - z wyjątkiem sytuacji awaryjnych^S - zjazd do zajezdni Forteczna (Starołęka) przez przystanek: Most Teatralny, Rond o, Śródka, Rondo Rataje",0,115740,FFFFFF
4,2,"4","POŁABSKA - STAROŁĘKA|STAROŁĘKA - POŁABSKA","POŁABSKA - Aleje Solidarności - Murawa - Winogrady - Pułaskiego - Fredry - pl. Ratajskiego - pl. Wielkopolski - Małe Garbary - Wyszyńskiego - Jana Pawła II - Zamenhofa - Starołęcka - STAROŁĘKA^N - kurs obsługiwany taborem niskopodłogowym - z wyjątkiem sytuacji awaryjnych|STAROŁĘKA - Zamenhofa - Jana Pawła II - Wyszyńskiego - Małe Garbary - pl. Wielkopolski - pl. Ratajskiego - Fredry - Roosevelta - Pułaskiego - Winogrady - Murawa - Aleje Solidarności - POŁABSKA^N - kurs obsługiwany taborem niskopodłogowym - z wyjątkiem sytuacji awaryjnych",0,115740,FFFFFF
5,2,"5","STOMIL - GÓRCZYN|GÓRCZYN - STOMIL","STOMIL - Starołęcka - Zamenhofa - Jana Pawła II - Kórnicka - Mostowa - Podgórna - al. Marcinkowskiego - pl. Wolności - Gwarna - Święty Marcin - Roosevelta - Głogowska - GÓRCZYN^F - zjazd do zajezdni Franowo przez przystanek: Rondo Rataje, Os. Lecha^N - kurs obsługiwany taborem niskopodłogowym - z wyjątkiem sytuacji awaryjnych|GÓRCZYN - Roosevelta - Święty Marcin - al. Marcinkowskiego - Podgórna - Mostowa - Kórnicka - Jana Pawła II - Zamenhofa - Starołęcka - STOMIL^F - zjazd do zajezdni Franowo przez przystanek: Marcinkowskiego, Os. Lecha^N - kurs obsługiwany taborem niskopodłogowym - z wyjątkiem sytuacji awaryjnych",0,6CC24A,000000
6,2,"6","MIŁOSTOWO - JUNIKOWO|JUNIKOWO - MIŁOSTOWO","MIŁOSTOWO - Warszawska - Jana Pawła II - Krzywoustego - Królowej Jadwigi - Matyi - Roosevelta - Bukowska - Grunwaldzka - JUNIKOWO^F - zjazd do zajezdni Franowo przez przystanek: Kórnicka, Os. Lecha^H - zjazd do zajezdni Głogowska przez przystanek: Rondo Rataje, Dworzec Zachodni^N - kurs obsługiwany taborem niskopodłogowym - z wyjątkiem sytuacji awaryjnych^S - zjazd do zajezdni Forteczna (Starołęka) przez przystanek: Rondo Rataje, Rondo S tarołęka|JUNIKOWO - Bukowska - Roosevelta - Matyi - Królowej Jadwigi - Krzywoustego - Jana Pawła II - Warszawska - MIŁOSTOWO^F - zjazd do zajezdni Franowo przez przystanek: Rondo Rataje, Os. Lecha^G - zjazd do zajezdni Głogowska przez przystanek: Bałtyk, Dworzec Zachodni^N - kurs obsługiwany taborem niskopodłogowym - z wyjątkiem sytuacji awaryjnych^S - zjazd do zajezdni Forteczna (Starołęka) przez przystanek: Bałtyk, Rondo Rataje, Rondo Starołęka",0,009639,FFFFFF
7,2,"7","ZAWADY - OGRODY|OGRODY - ZAWADY","ZAWADY - Podwale - Jana Pawła II - Zamenhofa - Hetmańska - Reymonta - Przybyszewskiego - Dąbrowskiego - OGRODY^F - zjazd do zajezdni Franowo  przez przystanek: Kórnicka^G - zjazd do zajezdni Głogowska przez przystanek: Kórnicka, Traugutta^N - kurs obsługiwany taborem niskopodłogowym - z wyjątkiem sytuacji awaryjnych^S - zjazd do zajezdni Forteczna (Starołęka) przez przystanek: Rondo Starołęka|OGRODY - Przybyszewskiego - Reymonta - Hetmańska - Zamenhofa - Jana Pawła II - Podwale - ZAWADY^F - zjazd do zajezdni Franowo przez przystanek Traugutta, Rondo Starołeka, Kórnicka^G - zjazd do zajezdni Głogowska przez przystanek: Rondo Nowaka-Jeziorańskiego^N - kurs obsługiwany taborem niskopodłogowym - z wyjątkiem sytuacji awaryjnych^S - zjazd do zajezdni Forteczna (Starołeka) przez przystanek: Traugutta, Rondo Star ołęka",0,003594,FFFFFF
8,2,"8","GÓRCZYN - MIŁOSTOWO|MIŁOSTOWO - GÓRCZYN","GÓRCZYN - Głogowska - Roosevelta - Fredry - pl. Ratajskiego - pl. Wielkopolski - Małe Garbary - Wyszyńskiego - Warszawska - MIŁOSTOWO^F - zjazd do zajezdni Franowo przez przystanek: Most Teatralny, Rondo Śródka, Os. L echa^N - kurs obsługiwany taborem niskopodłogowym - z wyjątkiem sytuacji awaryjnych|MIŁOSTOWO - Wyszyńskiego - Małe Garbary - pl. Wielkopolski - pl. Ratajskiego - Fredry - Roosevelta - Głogowska - GÓRCZYN^F - zjazd do zajezdn Franowo przez przytanek: Kórnicka, Os. Lecha^G - zjazd do zajezdni Głogowska przez przystanek: Rondo Kaponiera, Dworzec Zachodni^N - kurs obsługiwany taborem niskopodłogowym - z wyjątkiem sytuacji awaryjnych",0,DA291C,FFFFFF
9,2,"9","DĘBIEC - PIĄTKOWSKA|PIĄTKOWSKA - DĘBIEC","DĘBIEC - 28 Czerwca 1956 r. - Górna Wilda - Królowej Jadwigi - Strzelecka - al. Marcinkowskiego - pl. Wolności - Fredry - Roosevelta - Pułaskiego - al. Wielkopolska - Małopolska - Wołyńska - Winiarska - os. Winiary - Witosa - Bronowa - PIĄTKOWSKA^F - zjazd do zajezdni Franowo przez przystanek: Traugutta, AWF, Rondo Rataje^G - zjazd do zajezdni Głogowska przez przystanek: Traugutta^N - kurs obsługiwany taborem niskopodłogowym - z wyjątkiem sytuacji awaryjnych|PIĄTKOWSKA - Witosa - os. Winiary - Winiarska - Wołyńska - Małopolska - al. Wielkopolska - Pułaskiego - Fredry - Gwarna - al. Marcinkowskiego - Strzelecka - Królowej Jadwigi - Górna Wilda - 28 Czerwca 1956 r. - DĘBIEC^F - zjazd do zajezdni Franowo przez przystanek: Marcinkowskiego, AWF, Rondo Rataje^G - zjazd do zajezdni Głogowska przez przystanek: Most Teatralny, Most Dworcowy^N - kurs obsługiwany taborem niskopodłogowym - z wyjątkiem sytuacji awaryjnych",0,FF671F,000000
10,2,"10","POŁABSKA - DĘBIEC|DĘBIEC - POŁABSKA","POŁABSKA - Aleje Solidarności - Murawa - Winogrady - Pułaskiego - Roosevelta - Matyi - Wierzbięcice - 28 Czerwca 1956 r. - DĘBIEC^F - zjazd do zajezdni Franowo przez przystanek: Most Dworcowy, Rondo Rataje^G - zjazd do zajezdni Głogowska przez przystanek:  Most Teatralny, Most Dworcowy^N - kurs obsługiwany taborem niskopodłogowym - z wyjątkiem sytuacji awaryjnych|DĘBIEC - Wierzbięcice - Matyi - Roosevelta - Pułaskiego - Winogrady - Murawa - Aleje Solidarności - POŁABSKA^F - zjazd do zajezdni Franowo przez przystanek: AWF, Rondo Rataje, Os. Lecha^G - zjazd do zajezdni Głogowska przez przystanek: Traugutta^N - kurs obsługiwany taborem niskopodłogowym - z wyjątkiem sytuacji awaryjnych",0,F1B434,000000
